               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.010936,           0.0064515,           0.0020777,             0.99656,                   1,               0.995,             0.94537,           0.0021824,           0.0014066,          0.00012015,           0.0080695,           0.0080695,           0.0080695
                 119,           0.0095719,           0.0063975,           0.0020872,             0.99672,                   1,               0.995,             0.95527,           0.0020725,           0.0013508,          0.00013194,            0.008053,            0.008053,            0.008053
                 120,            0.010779,           0.0065558,           0.0022877,             0.99692,                   1,               0.995,             0.94977,           0.0022607,           0.0013786,          0.00011707,           0.0080365,           0.0080365,           0.0080365
                 121,           0.0097275,           0.0064004,           0.0025776,             0.99467,                   1,               0.995,             0.94674,           0.0023262,           0.0014824,          0.00012373,             0.00802,             0.00802,             0.00802
                 122,            0.010337,           0.0062985,           0.0027718,             0.99728,                   1,               0.995,             0.95883,           0.0021521,           0.0014764,          0.00010387,           0.0080035,           0.0080035,           0.0080035
                 123,            0.010832,           0.0062517,             0.00326,             0.99708,             0.99404,               0.995,             0.94283,           0.0023494,           0.0014107,          0.00012059,            0.007987,            0.007987,            0.007987
                 124,            0.010407,           0.0064682,           0.0029457,             0.99679,                   1,               0.995,             0.95531,           0.0021014,           0.0013464,          0.00012825,           0.0079705,           0.0079705,           0.0079705
                 125,            0.010562,           0.0065558,             0.00249,             0.99779,                   1,               0.995,             0.94219,            0.002298,           0.0014276,           0.0001349,            0.007954,            0.007954,            0.007954
                 126,            0.010295,            0.006415,           0.0028851,             0.99724,                   1,               0.995,             0.95496,           0.0021949,           0.0013503,          0.00010452,           0.0079375,           0.0079375,           0.0079375
                 127,            0.010335,           0.0063389,           0.0020354,             0.99704,                   1,               0.995,             0.95385,           0.0021695,           0.0013665,          0.00011545,            0.007921,            0.007921,            0.007921
                 128,            0.010578,           0.0063771,           0.0034623,               0.997,                   1,               0.995,             0.95364,           0.0021822,           0.0013832,          0.00010109,           0.0079045,           0.0079045,           0.0079045
                 129,            0.010724,           0.0064817,           0.0028631,             0.99529,                   1,               0.995,             0.95678,           0.0020185,           0.0012887,          0.00012017,            0.007888,            0.007888,            0.007888
                 130,           0.0098996,           0.0061691,           0.0018804,             0.99447,                   1,               0.995,             0.95014,           0.0020752,           0.0013682,           0.0001253,           0.0078715,           0.0078715,           0.0078715
                 131,            0.010603,           0.0064832,           0.0031425,             0.99787,                   1,               0.995,             0.95471,           0.0020826,           0.0013651,           0.0001195,            0.007855,            0.007855,            0.007855
                 132,            0.010331,           0.0063026,           0.0023831,             0.99767,                   1,               0.995,             0.95654,           0.0021438,           0.0013775,          0.00010664,           0.0078385,           0.0078385,           0.0078385
                 133,            0.010244,           0.0061921,           0.0017962,             0.99612,                   1,               0.995,             0.95939,           0.0020276,           0.0013238,           0.0001018,            0.007822,            0.007822,            0.007822
                 134,            0.010093,            0.006172,             0.00209,             0.99758,                   1,               0.995,             0.95505,           0.0021853,           0.0013723,           0.0001289,           0.0078055,           0.0078055,           0.0078055
                 135,            0.010045,            0.006326,           0.0026529,             0.99609,                   1,               0.995,             0.96098,           0.0020158,           0.0013075,          8.5427e-05,            0.007789,            0.007789,            0.007789
                 136,           0.0096601,           0.0061197,           0.0024834,             0.99605,             0.99975,               0.995,             0.96092,           0.0020317,           0.0013663,          0.00011198,           0.0077725,           0.0077725,           0.0077725
                 137,           0.0098464,           0.0061803,           0.0026462,              0.9977,                   1,               0.995,             0.96526,           0.0020353,           0.0013509,          8.8908e-05,            0.007756,            0.007756,            0.007756
                 138,            0.010091,           0.0062526,           0.0021291,             0.99776,                   1,               0.995,             0.95032,           0.0021243,           0.0013783,           0.0001173,           0.0077395,           0.0077395,           0.0077395
                 139,            0.010323,            0.006505,           0.0031008,             0.99695,                   1,               0.995,              0.9616,           0.0019965,            0.001322,          8.7949e-05,            0.007723,            0.007723,            0.007723
                 140,           0.0095909,           0.0064058,           0.0026782,             0.99823,                   1,               0.995,             0.96495,           0.0019447,           0.0012843,          0.00011338,           0.0077065,           0.0077065,           0.0077065
                 141,           0.0096116,           0.0063157,           0.0021586,             0.99722,                   1,               0.995,             0.94888,           0.0021651,           0.0013133,          0.00010811,             0.00769,             0.00769,             0.00769
                 142,            0.010631,           0.0063468,           0.0031067,             0.99583,                   1,               0.995,             0.95741,           0.0021245,           0.0012744,           9.391e-05,           0.0076735,           0.0076735,           0.0076735
                 143,            0.010181,           0.0063528,           0.0030539,             0.99796,             0.99982,               0.995,             0.94826,           0.0020859,           0.0013185,          9.4495e-05,            0.007657,            0.007657,            0.007657
                 144,           0.0097024,           0.0063122,           0.0026802,             0.99661,             0.99941,               0.995,             0.95565,            0.002108,           0.0013229,          0.00011875,           0.0076405,           0.0076405,           0.0076405
